unit,upgrade,maintain,close,dirtroad,stabalize,ranking,treat,gender,education,age
1,5,4,3,2,1,54321,0,1,3,3
2,4,5,3,2,1,45321,1,1,3,3
3,3,4,2,1,5,34215,0,2,1,2
4,4,5,3,2,1,45321,1,2,1,2
5,3,4,2,5,1,34251,0,1,3,3
6,5,3,4,2,1,53421,1,1,3,3
7,1,4,3,2,5,14325,0,2,1,3
8,5,4,3,2,1,54321,1,2,1,3
9,NA,NA,NA,NA,NA,-----,0,2,2,5
10,3,4,2,5,1,34251,1,2,2,5
11,4,3,2,1,5,43215,0,1,2,5
12,3,4,2,5,1,34251,1,1,2,5
13,3,1,5,4,2,31542,0,2,3,2
14,5,3,4,1,2,53412,1,2,3,2
15,4,3,5,2,1,43521,0,2,2,3
16,5,4,3,2,1,54321,1,2,2,3
17,4,3,2,1,5,43215,0,1,2,4
18,5,4,3,2,1,54321,1,1,2,4
19,3,4,2,1,5,34215,0,1,1,2
20,5,4,3,2,1,54321,1,1,1,2
21,1,2,3,4,5,12345,0,2,1,5
22,4,5,3,2,1,45321,1,2,1,5
23,5,1,3,4,2,51342,0,1,2,4
24,5,4,3,2,1,54321,1,1,2,4
